00000010  22 bb 35 3c a8 7a 79 20  ed dc 6c 55 40 70 56 54  |".5<.zy ..lU@pVT|
00000010  22 bb 35 3c a8 7a 79 20  ed dc 6c 55 40 70 56 54  |".5<.zy ..lU@pVT|
[34m2019-05-10 21:38:33.787 UTC [kvledger] CommitWithPvtData -> INFO ce5a[0m [channelall] Committed block [29] with 4 transaction(s) in 10ms (state_validation=0ms block_commit=7ms state_commit=1ms)
[34m2019-05-10 21:38:35.794 UTC [kvledger] CommitWithPvtData -> INFO cf70[0m [channelall] Committed block [30] with 3 transaction(s) in 50ms (state_validation=0ms block_commit=31ms state_commit=3ms)
[34m2019-05-10 21:38:40.522 UTC [kvledger] CommitWithPvtData -> INFO d0f8[0m [channelall] Committed block [31] with 3 transaction(s) in 22ms (state_validation=0ms block_commit=15ms state_commit=3ms)
[34m2019-05-10 21:38:42.537 UTC [kvledger] CommitWithPvtData -> INFO d21b[0m [channelall] Committed block [32] with 2 transaction(s) in 45ms (state_validation=0ms block_commit=38ms state_commit=3ms)
[34m2019-05-10 21:38:46.429 UTC [kvledger] CommitWithPvtData -> INFO d3b9[0m [channelall] Committed block [33] with 1 transaction(s) in 34ms (state_validation=0ms block_commit=22ms state_commit=5ms)
[34m2019-05-10 21:38:51.624 UTC [kvledger] CommitWithPvtData -> INFO d5b9[0m [channelall] Committed block [34] with 1 transaction(s) in 15ms (state_validation=0ms block_commit=11ms state_commit=1ms)
[34m2019-05-10 21:39:14.187 UTC [kvledger] CommitWithPvtData -> INFO dd4d[0m [channelall] Committed block [35] with 47 transaction(s) in 35ms (state_validation=0ms block_commit=25ms state_commit=4ms)
[34m2019-05-10 21:39:16.156 UTC [kvledger] CommitWithPvtData -> INFO e836[0m [channelall] Committed block [36] with 500 transaction(s) in 63ms (state_validation=6ms block_commit=44ms state_commit=4ms)
[34m2019-05-10 21:39:17.275 UTC [kvledger] CommitWithPvtData -> INFO f277[0m [channelall] Committed block [37] with 500 transaction(s) in 93ms (state_validation=14ms block_commit=63ms state_commit=4ms)
[34m2019-05-10 21:39:17.898 UTC [kvledger] CommitWithPvtData -> INFO fc42[0m [channelall] Committed block [38] with 500 transaction(s) in 126ms (state_validation=9ms block_commit=64ms state_commit=22ms)
[34m2019-05-10 21:39:18.811 UTC [kvledger] CommitWithPvtData -> INFO 10673[0m [channelall] Committed block [39] with 500 transaction(s) in 115ms (state_validation=14ms block_commit=58ms state_commit=25ms)
[34m2019-05-10 21:39:23.778 UTC [kvledger] CommitWithPvtData -> INFO 113c0[0m [channelall] Committed block [40] with 500 transaction(s) in 44ms (state_validation=5ms block_commit=28ms state_commit=3ms)
[34m2019-05-10 21:39:23.887 UTC [kvledger] CommitWithPvtData -> INFO 11d91[0m [channelall] Committed block [41] with 500 transaction(s) in 49ms (state_validation=8ms block_commit=28ms state_commit=4ms)
[34m2019-05-10 21:39:23.978 UTC [kvledger] CommitWithPvtData -> INFO 1275c[0m [channelall] Committed block [42] with 500 transaction(s) in 45ms (state_validation=8ms block_commit=26ms state_commit=3ms)
[34m2019-05-10 21:39:24.070 UTC [kvledger] CommitWithPvtData -> INFO 13137[0m [channelall] Committed block [43] with 500 transaction(s) in 44ms (state_validation=5ms block_commit=26ms state_commit=3ms)
[34m2019-05-10 21:39:24.157 UTC [kvledger] CommitWithPvtData -> INFO 13b00[0m [channelall] Committed block [44] with 500 transaction(s) in 42ms (state_validation=5ms block_commit=24ms state_commit=4ms)
[34m2019-05-10 21:39:25.062 UTC [kvledger] CommitWithPvtData -> INFO 1447c[0m [channelall] Committed block [45] with 453 transaction(s) in 83ms (state_validation=8ms block_commit=63ms state_commit=4ms)
