00000010  22 bb 35 3c a8 7a 79 20  ed dc 6c 55 40 70 56 54  |".5<.zy ..lU@pVT|
00000010  22 bb 35 3c a8 7a 79 20  ed dc 6c 55 40 70 56 54  |".5<.zy ..lU@pVT|
00000010  22 bb 35 3c a8 7a 79 20  ed dc 6c 55 40 70 56 54  |".5<.zy ..lU@pVT|
00000010  22 bb 35 3c a8 7a 79 20  ed dc 6c 55 40 70 56 54  |".5<.zy ..lU@pVT|
[34m2019-05-10 21:38:31.191 UTC [kvledger] CommitWithPvtData -> INFO d128[0m [channelall] Committed block [28] with 1 transaction(s) in 48ms (state_validation=0ms block_commit=41ms state_commit=3ms)
[34m2019-05-10 21:38:33.649 UTC [kvledger] CommitWithPvtData -> INFO d1c3[0m [channelall] Committed block [29] with 4 transaction(s) in 24ms (state_validation=0ms block_commit=13ms state_commit=6ms)
[34m2019-05-10 21:38:40.486 UTC [kvledger] CommitWithPvtData -> INFO d44c[0m [channelall] Committed block [30] with 3 transaction(s) in 4755ms (state_validation=0ms block_commit=43ms state_commit=4710ms)
[34m2019-05-10 21:38:40.498 UTC [kvledger] CommitWithPvtData -> INFO d46c[0m [channelall] Committed block [31] with 3 transaction(s) in 10ms (state_validation=0ms block_commit=7ms state_commit=1ms)
[34m2019-05-10 21:38:42.535 UTC [kvledger] CommitWithPvtData -> INFO d5b9[0m [channelall] Committed block [32] with 2 transaction(s) in 47ms (state_validation=0ms block_commit=40ms state_commit=3ms)
[34m2019-05-10 21:38:46.417 UTC [kvledger] CommitWithPvtData -> INFO d776[0m [channelall] Committed block [33] with 1 transaction(s) in 34ms (state_validation=0ms block_commit=19ms state_commit=10ms)
[34m2019-05-10 21:38:48.902 UTC [kvledger] CommitWithPvtData -> INFO d809[0m [channelall] Committed block [34] with 1 transaction(s) in 16ms (state_validation=0ms block_commit=9ms state_commit=3ms)
[34m2019-05-10 21:39:14.166 UTC [kvledger] CommitWithPvtData -> INFO e15a[0m [channelall] Committed block [35] with 47 transaction(s) in 45ms (state_validation=0ms block_commit=29ms state_commit=6ms)
[34m2019-05-10 21:39:16.066 UTC [kvledger] CommitWithPvtData -> INFO ec27[0m [channelall] Committed block [36] with 500 transaction(s) in 109ms (state_validation=11ms block_commit=56ms state_commit=22ms)
[34m2019-05-10 21:39:17.228 UTC [kvledger] CommitWithPvtData -> INFO f680[0m [channelall] Committed block [37] with 500 transaction(s) in 189ms (state_validation=63ms block_commit=105ms state_commit=6ms)
[34m2019-05-10 21:39:17.727 UTC [kvledger] CommitWithPvtData -> INFO 1004b[0m [channelall] Committed block [38] with 500 transaction(s) in 90ms (state_validation=12ms block_commit=56ms state_commit=6ms)
[34m2019-05-10 21:39:18.656 UTC [kvledger] CommitWithPvtData -> INFO 10a42[0m [channelall] Committed block [39] with 500 transaction(s) in 131ms (state_validation=12ms block_commit=83ms state_commit=6ms)
[34m2019-05-10 21:39:19.597 UTC [kvledger] CommitWithPvtData -> INFO 1145a[0m [channelall] Committed block [40] with 500 transaction(s) in 100ms (state_validation=20ms block_commit=49ms state_commit=8ms)
[34m2019-05-10 21:39:20.409 UTC [kvledger] CommitWithPvtData -> INFO 11e57[0m [channelall] Committed block [41] with 500 transaction(s) in 151ms (state_validation=34ms block_commit=87ms state_commit=9ms)
[34m2019-05-10 21:39:21.525 UTC [kvledger] CommitWithPvtData -> INFO 12923[0m [channelall] Committed block [42] with 500 transaction(s) in 174ms (state_validation=42ms block_commit=78ms state_commit=12ms)
[34m2019-05-10 21:39:22.229 UTC [kvledger] CommitWithPvtData -> INFO 13335[0m [channelall] Committed block [43] with 500 transaction(s) in 125ms (state_validation=37ms block_commit=48ms state_commit=5ms)
[34m2019-05-10 21:39:23.168 UTC [kvledger] CommitWithPvtData -> INFO 13e65[0m [channelall] Committed block [44] with 500 transaction(s) in 92ms (state_validation=10ms block_commit=43ms state_commit=13ms)
[34m2019-05-10 21:39:24.944 UTC [kvledger] CommitWithPvtData -> INFO 14803[0m [channelall] Committed block [45] with 453 transaction(s) in 85ms (state_validation=28ms block_commit=39ms state_commit=6ms)
[36m2019-05-10 21:45:40.985 UTC [msp/identity] Verify -> DEBU 1bfea[0m Verify: digest = 00000000  50 96 46 26 60 56 b9 6c  50 76 54 01 2f b5 83 b4  |P.F&`V.lPvT./...|
