00000010  22 bb 35 3c a8 7a 79 20  ed dc 6c 55 40 70 56 54  |".5<.zy ..lU@pVT|
00000010  22 bb 35 3c a8 7a 79 20  ed dc 6c 55 40 70 56 54  |".5<.zy ..lU@pVT|
00000010  22 bb 35 3c a8 7a 79 20  ed dc 6c 55 40 70 56 54  |".5<.zy ..lU@pVT|
[34m2019-05-10 21:35:42.241 UTC [kvledger] CommitWithPvtData -> INFO 8f55[0m [channelall] Committed block [0] with 1 transaction(s) in 11ms (state_validation=0ms block_commit=7ms state_commit=2ms)
MIICRDCCAeqgAwIBAgIRAOL42qrH9H5XpVToCNVGuVkwCgYIKoZIzj0EAwIwczEL
[34m2019-05-10 21:36:59.979 UTC [kvledger] CommitWithPvtData -> INFO a82d[0m [channelall] Committed block [1] with 1 transaction(s) in 22ms (state_validation=0ms block_commit=15ms state_commit=4ms)
[34m2019-05-10 21:37:18.709 UTC [kvledger] CommitWithPvtData -> INFO aee3[0m [channelall] Committed block [2] with 1 transaction(s) in 24ms (state_validation=0ms block_commit=18ms state_commit=3ms)
[34m2019-05-10 21:37:25.063 UTC [kvledger] CommitWithPvtData -> INFO b0fd[0m [channelall] Committed block [3] with 1 transaction(s) in 20ms (state_validation=0ms block_commit=14ms state_commit=3ms)
[34m2019-05-10 21:37:28.714 UTC [kvledger] CommitWithPvtData -> INFO b25e[0m [channelall] Committed block [4] with 1 transaction(s) in 22ms (state_validation=0ms block_commit=14ms state_commit=4ms)
[34m2019-05-10 21:37:31.088 UTC [kvledger] CommitWithPvtData -> INFO b3d4[0m [channelall] Committed block [5] with 2 transaction(s) in 22ms (state_validation=0ms block_commit=15ms state_commit=3ms)
[34m2019-05-10 21:37:34.498 UTC [kvledger] CommitWithPvtData -> INFO b514[0m [channelall] Committed block [6] with 2 transaction(s) in 26ms (state_validation=0ms block_commit=19ms state_commit=3ms)
[34m2019-05-10 21:37:36.979 UTC [kvledger] CommitWithPvtData -> INFO b629[0m [channelall] Committed block [7] with 3 transaction(s) in 24ms (state_validation=0ms block_commit=18ms state_commit=3ms)
[34m2019-05-10 21:37:40.893 UTC [kvledger] CommitWithPvtData -> INFO b7b8[0m [channelall] Committed block [8] with 3 transaction(s) in 22ms (state_validation=0ms block_commit=16ms state_commit=3ms)
[34m2019-05-10 21:37:43.428 UTC [kvledger] CommitWithPvtData -> INFO b904[0m [channelall] Committed block [9] with 4 transaction(s) in 21ms (state_validation=0ms block_commit=14ms state_commit=3ms)
[34m2019-05-10 21:37:46.404 UTC [kvledger] CommitWithPvtData -> INFO ba5e[0m [channelall] Committed block [10] with 4 transaction(s) in 38ms (state_validation=0ms block_commit=31ms state_commit=3ms)
[34m2019-05-10 21:37:49.058 UTC [kvledger] CommitWithPvtData -> INFO badf[0m [channelall] Committed block [11] with 5 transaction(s) in 26ms (state_validation=0ms block_commit=19ms state_commit=3ms)
[34m2019-05-10 21:37:55.278 UTC [kvledger] CommitWithPvtData -> INFO bdd5[0m [channelall] Committed block [12] with 4 transaction(s) in 14ms (state_validation=0ms block_commit=11ms state_commit=1ms)
[34m2019-05-10 21:37:55.290 UTC [kvledger] CommitWithPvtData -> INFO bdfe[0m [channelall] Committed block [13] with 4 transaction(s) in 11ms (state_validation=0ms block_commit=7ms state_commit=1ms)
[34m2019-05-10 21:37:56.565 UTC [kvledger] CommitWithPvtData -> INFO beaa[0m [channelall] Committed block [14] with 3 transaction(s) in 26ms (state_validation=0ms block_commit=18ms state_commit=4ms)
[34m2019-05-10 21:37:59.046 UTC [kvledger] CommitWithPvtData -> INFO bfd8[0m [channelall] Committed block [15] with 3 transaction(s) in 46ms (state_validation=0ms block_commit=41ms state_commit=3ms)
