00000010  22 bb 35 3c a8 7a 79 20  ed dc 6c 55 40 70 56 54  |".5<.zy ..lU@pVT|
00000010  22 bb 35 3c a8 7a 79 20  ed dc 6c 55 40 70 56 54  |".5<.zy ..lU@pVT|
[34m2019-05-10 21:35:42.069 UTC [kvledger] CommitWithPvtData -> INFO 81c9[0m [channelall] Committed block [0] with 1 transaction(s) in 14ms (state_validation=0ms block_commit=8ms state_commit=3ms)
MIICRDCCAeqgAwIBAgIRAOL42qrH9H5XpVToCNVGuVkwCgYIKoZIzj0EAwIwczEL
[34m2019-05-10 21:36:59.979 UTC [kvledger] CommitWithPvtData -> INFO 9833[0m [channelall] Committed block [1] with 1 transaction(s) in 22ms (state_validation=0ms block_commit=14ms state_commit=3ms)
[34m2019-05-10 21:37:18.712 UTC [kvledger] CommitWithPvtData -> INFO 9e6f[0m [channelall] Committed block [2] with 1 transaction(s) in 22ms (state_validation=0ms block_commit=16ms state_commit=3ms)
[34m2019-05-10 21:37:25.067 UTC [kvledger] CommitWithPvtData -> INFO a0a1[0m [channelall] Committed block [3] with 1 transaction(s) in 20ms (state_validation=0ms block_commit=14ms state_commit=3ms)
[34m2019-05-10 21:37:28.719 UTC [kvledger] CommitWithPvtData -> INFO a1e6[0m [channelall] Committed block [4] with 1 transaction(s) in 22ms (state_validation=0ms block_commit=16ms state_commit=3ms)
[34m2019-05-10 21:37:31.084 UTC [kvledger] CommitWithPvtData -> INFO a322[0m [channelall] Committed block [5] with 2 transaction(s) in 21ms (state_validation=0ms block_commit=14ms state_commit=3ms)
[34m2019-05-10 21:37:34.498 UTC [kvledger] CommitWithPvtData -> INFO a41e[0m [channelall] Committed block [6] with 2 transaction(s) in 24ms (state_validation=0ms block_commit=17ms state_commit=3ms)
[34m2019-05-10 21:37:36.977 UTC [kvledger] CommitWithPvtData -> INFO a557[0m [channelall] Committed block [7] with 3 transaction(s) in 25ms (state_validation=0ms block_commit=18ms state_commit=3ms)
[34m2019-05-10 21:37:40.886 UTC [kvledger] CommitWithPvtData -> INFO a6f2[0m [channelall] Committed block [8] with 3 transaction(s) in 22ms (state_validation=0ms block_commit=13ms state_commit=4ms)
[34m2019-05-10 21:37:43.428 UTC [kvledger] CommitWithPvtData -> INFO a7f0[0m [channelall] Committed block [9] with 4 transaction(s) in 20ms (state_validation=0ms block_commit=13ms state_commit=3ms)
