00000010  22 bb 35 3c a8 7a 79 20  ed dc 6c 55 40 70 56 54  |".5<.zy ..lU@pVT|
00000010  22 bb 35 3c a8 7a 79 20  ed dc 6c 55 40 70 56 54  |".5<.zy ..lU@pVT|
[34m2019-05-10 21:35:42.156 UTC [kvledger] CommitWithPvtData -> INFO 8687[0m [channelall] Committed block [0] with 1 transaction(s) in 13ms (state_validation=0ms block_commit=8ms state_commit=2ms)
MIICRDCCAeqgAwIBAgIRAOL42qrH9H5XpVToCNVGuVkwCgYIKoZIzj0EAwIwczEL
[34m2019-05-10 21:36:59.987 UTC [kvledger] CommitWithPvtData -> INFO 9d5f[0m [channelall] Committed block [1] with 1 transaction(s) in 20ms (state_validation=0ms block_commit=15ms state_commit=2ms)
[34m2019-05-10 21:37:18.709 UTC [kvledger] CommitWithPvtData -> INFO a35f[0m [channelall] Committed block [2] with 1 transaction(s) in 25ms (state_validation=0ms block_commit=19ms state_commit=3ms)
[34m2019-05-10 21:37:25.069 UTC [kvledger] CommitWithPvtData -> INFO a5d1[0m [channelall] Committed block [3] with 1 transaction(s) in 17ms (state_validation=0ms block_commit=12ms state_commit=2ms)
[34m2019-05-10 21:37:31.186 UTC [kvledger] CommitWithPvtData -> INFO a83a[0m [channelall] Committed block [4] with 1 transaction(s) in 11ms (state_validation=0ms block_commit=7ms state_commit=1ms)
[34m2019-05-10 21:37:31.199 UTC [kvledger] CommitWithPvtData -> INFO a854[0m [channelall] Committed block [5] with 2 transaction(s) in 10ms (state_validation=0ms block_commit=7ms state_commit=1ms)
[34m2019-05-10 21:37:34.498 UTC [kvledger] CommitWithPvtData -> INFO a936[0m [channelall] Committed block [6] with 2 transaction(s) in 21ms (state_validation=0ms block_commit=14ms state_commit=3ms)
[34m2019-05-10 21:37:36.977 UTC [kvledger] CommitWithPvtData -> INFO aa87[0m [channelall] Committed block [7] with 3 transaction(s) in 24ms (state_validation=0ms block_commit=17ms state_commit=3ms)
[34m2019-05-10 21:37:40.897 UTC [kvledger] CommitWithPvtData -> INFO ac36[0m [channelall] Committed block [8] with 3 transaction(s) in 18ms (state_validation=0ms block_commit=14ms state_commit=2ms)
[34m2019-05-10 21:37:43.428 UTC [kvledger] CommitWithPvtData -> INFO ad0c[0m [channelall] Committed block [9] with 4 transaction(s) in 21ms (state_validation=0ms block_commit=14ms state_commit=3ms)
[34m2019-05-10 21:37:46.404 UTC [kvledger] CommitWithPvtData -> INFO aeac[0m [channelall] Committed block [10] with 4 transaction(s) in 39ms (state_validation=0ms block_commit=32ms state_commit=3ms)
[34m2019-05-10 21:37:49.057 UTC [kvledger] CommitWithPvtData -> INFO af67[0m [channelall] Committed block [11] with 5 transaction(s) in 26ms (state_validation=0ms block_commit=19ms state_commit=3ms)
[34m2019-05-10 21:37:55.189 UTC [kvledger] CommitWithPvtData -> INFO b197[0m [channelall] Committed block [12] with 4 transaction(s) in 11ms (state_validation=0ms block_commit=8ms state_commit=1ms)
[34m2019-05-10 21:37:55.202 UTC [kvledger] CommitWithPvtData -> INFO b1c0[0m [channelall] Committed block [13] with 4 transaction(s) in 10ms (state_validation=0ms block_commit=7ms state_commit=1ms)
[34m2019-05-10 21:38:02.522 UTC [kvledger] CommitWithPvtData -> INFO b4df[0m [channelall] Committed block [14] with 3 transaction(s) in 5985ms (state_validation=0ms block_commit=20ms state_commit=5963ms)
[34m2019-05-10 21:38:02.536 UTC [kvledger] CommitWithPvtData -> INFO b507[0m [channelall] Committed block [15] with 3 transaction(s) in 11ms (state_validation=0ms block_commit=8ms state_commit=1ms)
[34m2019-05-10 21:38:02.549 UTC [kvledger] CommitWithPvtData -> INFO b53b[0m [channelall] Committed block [16] with 5 transaction(s) in 11ms (state_validation=0ms block_commit=7ms state_commit=1ms)
[34m2019-05-10 21:38:03.532 UTC [kvledger] CommitWithPvtData -> INFO b563[0m [channelall] Committed block [17] with 3 transaction(s) in 45ms (state_validation=0ms block_commit=38ms state_commit=2ms)
[34m2019-05-10 21:38:06.647 UTC [kvledger] CommitWithPvtData -> INFO b709[0m [channelall] Committed block [18] with 5 transaction(s) in 21ms (state_validation=0ms block_commit=15ms state_commit=3ms)
[34m2019-05-10 21:38:09.142 UTC [kvledger] CommitWithPvtData -> INFO b7c0[0m [channelall] Committed block [19] with 4 transaction(s) in 44ms (state_validation=0ms block_commit=38ms state_commit=3ms)
[34m2019-05-10 21:38:11.795 UTC [kvledger] CommitWithPvtData -> INFO b8df[0m [channelall] Committed block [20] with 2 transaction(s) in 38ms (state_validation=0ms block_commit=32ms state_commit=2ms)
[34m2019-05-10 21:38:13.866 UTC [kvledger] CommitWithPvtData -> INFO b96f[0m [channelall] Committed block [21] with 5 transaction(s) in 20ms (state_validation=0ms block_commit=16ms state_commit=2ms)
[34m2019-05-10 21:38:15.930 UTC [kvledger] CommitWithPvtData -> INFO ba77[0m [channelall] Committed block [22] with 3 transaction(s) in 43ms (state_validation=0ms block_commit=36ms state_commit=3ms)
[34m2019-05-10 21:38:18.482 UTC [kvledger] CommitWithPvtData -> INFO bb79[0m [channelall] Committed block [23] with 3 transaction(s) in 37ms (state_validation=0ms block_commit=28ms state_commit=4ms)
[34m2019-05-10 21:38:20.905 UTC [kvledger] CommitWithPvtData -> INFO bcc7[0m [channelall] Committed block [24] with 5 transaction(s) in 36ms (state_validation=0ms block_commit=23ms state_commit=8ms)
[34m2019-05-10 21:38:23.429 UTC [kvledger] CommitWithPvtData -> INFO bd94[0m [channelall] Committed block [25] with 2 transaction(s) in 41ms (state_validation=0ms block_commit=35ms state_commit=3ms)
[34m2019-05-10 21:38:25.747 UTC [kvledger] CommitWithPvtData -> INFO be98[0m [channelall] Committed block [26] with 3 transaction(s) in 20ms (state_validation=0ms block_commit=14ms state_commit=3ms)
[34m2019-05-10 21:38:27.793 UTC [kvledger] CommitWithPvtData -> INFO bfb2[0m [channelall] Committed block [27] with 5 transaction(s) in 23ms (state_validation=0ms block_commit=16ms state_commit=3ms)
[34m2019-05-10 21:38:31.193 UTC [kvledger] CommitWithPvtData -> INFO c11c[0m [channelall] Committed block [28] with 1 transaction(s) in 44ms (state_validation=0ms block_commit=37ms state_commit=3ms)
[34m2019-05-10 21:38:33.659 UTC [kvledger] CommitWithPvtData -> INFO c1b7[0m [channelall] Committed block [29] with 4 transaction(s) in 18ms (state_validation=0ms block_commit=12ms state_commit=2ms)
[34m2019-05-10 21:38:35.794 UTC [kvledger] CommitWithPvtData -> INFO c2b3[0m [channelall] Committed block [30] with 3 transaction(s) in 49ms (state_validation=0ms block_commit=30ms state_commit=3ms)
[34m2019-05-10 21:38:40.522 UTC [kvledger] CommitWithPvtData -> INFO c47f[0m [channelall] Committed block [31] with 3 transaction(s) in 23ms (state_validation=0ms block_commit=16ms state_commit=3ms)
[34m2019-05-10 21:38:42.537 UTC [kvledger] CommitWithPvtData -> INFO c584[0m [channelall] Committed block [32] with 2 transaction(s) in 47ms (state_validation=0ms block_commit=40ms state_commit=3ms)
[34m2019-05-10 21:38:46.432 UTC [kvledger] CommitWithPvtData -> INFO c738[0m [channelall] Committed block [33] with 1 transaction(s) in 36ms (state_validation=0ms block_commit=25ms state_commit=6ms)
[34m2019-05-10 21:38:48.918 UTC [kvledger] CommitWithPvtData -> INFO c7b2[0m [channelall] Committed block [34] with 1 transaction(s) in 20ms (state_validation=0ms block_commit=13ms state_commit=3ms)
[34m2019-05-10 21:39:14.170 UTC [kvledger] CommitWithPvtData -> INFO d03e[0m [channelall] Committed block [35] with 47 transaction(s) in 41ms (state_validation=0ms block_commit=25ms state_commit=7ms)
[34m2019-05-10 21:39:16.147 UTC [kvledger] CommitWithPvtData -> INFO db11[0m [channelall] Committed block [36] with 500 transaction(s) in 67ms (state_validation=7ms block_commit=46ms state_commit=6ms)
[34m2019-05-10 21:39:17.239 UTC [kvledger] CommitWithPvtData -> INFO e50a[0m [channelall] Committed block [37] with 500 transaction(s) in 93ms (state_validation=13ms block_commit=56ms state_commit=4ms)
[34m2019-05-10 21:39:17.914 UTC [kvledger] CommitWithPvtData -> INFO eee0[0m [channelall] Committed block [38] with 500 transaction(s) in 102ms (state_validation=12ms block_commit=73ms state_commit=6ms)
[34m2019-05-10 21:39:18.861 UTC [kvledger] CommitWithPvtData -> INFO f9ae[0m [channelall] Committed block [39] with 500 transaction(s) in 116ms (state_validation=12ms block_commit=71ms state_commit=5ms)
[34m2019-05-10 21:39:19.701 UTC [kvledger] CommitWithPvtData -> INFO 103f9[0m [channelall] Committed block [40] with 500 transaction(s) in 102ms (state_validation=20ms block_commit=62ms state_commit=8ms)
[34m2019-05-10 21:39:20.515 UTC [kvledger] CommitWithPvtData -> INFO 10e9d[0m [channelall] Committed block [41] with 500 transaction(s) in 134ms (state_validation=18ms block_commit=68ms state_commit=7ms)
[34m2019-05-10 21:39:21.587 UTC [kvledger] CommitWithPvtData -> INFO 11953[0m [channelall] Committed block [42] with 500 transaction(s) in 79ms (state_validation=8ms block_commit=43ms state_commit=6ms)
[34m2019-05-10 21:39:22.347 UTC [kvledger] CommitWithPvtData -> INFO 123a8[0m [channelall] Committed block [43] with 500 transaction(s) in 162ms (state_validation=48ms block_commit=83ms state_commit=5ms)
[34m2019-05-10 21:39:23.184 UTC [kvledger] CommitWithPvtData -> INFO 12da9[0m [channelall] Committed block [44] with 500 transaction(s) in 72ms (state_validation=9ms block_commit=46ms state_commit=6ms)
[34m2019-05-10 21:39:25.057 UTC [kvledger] CommitWithPvtData -> INFO 1371f[0m [channelall] Committed block [45] with 453 transaction(s) in 58ms (state_validation=5ms block_commit=39ms state_commit=6ms)
