00000010  22 bb 35 3c a8 7a 79 20  ed dc 6c 55 40 70 56 54  |".5<.zy ..lU@pVT|
00000010  22 bb 35 3c a8 7a 79 20  ed dc 6c 55 40 70 56 54  |".5<.zy ..lU@pVT|
[34m2019-05-10 21:35:42.322 UTC [kvledger] CommitWithPvtData -> INFO 93f9[0m [channelall] Committed block [0] with 1 transaction(s) in 11ms (state_validation=0ms block_commit=6ms state_commit=2ms)
MIICRDCCAeqgAwIBAgIRAOL42qrH9H5XpVToCNVGuVkwCgYIKoZIzj0EAwIwczEL
[34m2019-05-10 21:36:59.985 UTC [kvledger] CommitWithPvtData -> INFO ada7[0m [channelall] Committed block [1] with 1 transaction(s) in 22ms (state_validation=0ms block_commit=15ms state_commit=3ms)
[34m2019-05-10 21:37:18.707 UTC [kvledger] CommitWithPvtData -> INFO b411[0m [channelall] Committed block [2] with 1 transaction(s) in 28ms (state_validation=0ms block_commit=22ms state_commit=3ms)
[34m2019-05-10 21:37:25.067 UTC [kvledger] CommitWithPvtData -> INFO b61d[0m [channelall] Committed block [3] with 1 transaction(s) in 19ms (state_validation=0ms block_commit=13ms state_commit=3ms)
[34m2019-05-10 21:37:28.714 UTC [kvledger] CommitWithPvtData -> INFO b778[0m [channelall] Committed block [4] with 1 transaction(s) in 23ms (state_validation=0ms block_commit=15ms state_commit=3ms)
[34m2019-05-10 21:37:31.086 UTC [kvledger] CommitWithPvtData -> INFO b920[0m [channelall] Committed block [5] with 2 transaction(s) in 22ms (state_validation=0ms block_commit=14ms state_commit=4ms)
[34m2019-05-10 21:37:34.498 UTC [kvledger] CommitWithPvtData -> INFO ba42[0m [channelall] Committed block [6] with 2 transaction(s) in 22ms (state_validation=0ms block_commit=16ms state_commit=3ms)
[34m2019-05-10 21:37:36.977 UTC [kvledger] CommitWithPvtData -> INFO bb33[0m [channelall] Committed block [7] with 3 transaction(s) in 25ms (state_validation=0ms block_commit=18ms state_commit=3ms)
[34m2019-05-10 21:37:40.893 UTC [kvledger] CommitWithPvtData -> INFO bd00[0m [channelall] Committed block [8] with 3 transaction(s) in 21ms (state_validation=0ms block_commit=15ms state_commit=3ms)
[34m2019-05-10 21:37:43.437 UTC [kvledger] CommitWithPvtData -> INFO be6e[0m [channelall] Committed block [9] with 4 transaction(s) in 17ms (state_validation=0ms block_commit=12ms state_commit=2ms)
[34m2019-05-10 21:37:46.404 UTC [kvledger] CommitWithPvtData -> INFO c024[0m [channelall] Committed block [10] with 4 transaction(s) in 33ms (state_validation=0ms block_commit=27ms state_commit=3ms)
[34m2019-05-10 21:37:49.055 UTC [kvledger] CommitWithPvtData -> INFO c0bf[0m [channelall] Committed block [11] with 5 transaction(s) in 29ms (state_validation=0ms block_commit=21ms state_commit=3ms)
[34m2019-05-10 21:37:52.104 UTC [kvledger] CommitWithPvtData -> INFO c2a1[0m [channelall] Committed block [12] with 4 transaction(s) in 46ms (state_validation=0ms block_commit=41ms state_commit=2ms)
[34m2019-05-10 21:37:54.522 UTC [kvledger] CommitWithPvtData -> INFO c3ae[0m [channelall] Committed block [13] with 4 transaction(s) in 22ms (state_validation=0ms block_commit=15ms state_commit=3ms)
[34m2019-05-10 21:37:59.355 UTC [kvledger] CommitWithPvtData -> INFO c5ac[0m [channelall] Committed block [14] with 3 transaction(s) in 12ms (state_validation=0ms block_commit=8ms state_commit=1ms)
[34m2019-05-10 21:37:59.366 UTC [kvledger] CommitWithPvtData -> INFO c5cc[0m [channelall] Committed block [15] with 3 transaction(s) in 9ms (state_validation=0ms block_commit=6ms state_commit=1ms)
[34m2019-05-10 21:38:02.361 UTC [kvledger] CommitWithPvtData -> INFO c7b2[0m [channelall] Committed block [16] with 5 transaction(s) in 14ms (state_validation=0ms block_commit=10ms state_commit=1ms)
[34m2019-05-10 21:38:03.531 UTC [kvledger] CommitWithPvtData -> INFO c7e1[0m [channelall] Committed block [17] with 3 transaction(s) in 47ms (state_validation=0ms block_commit=40ms state_commit=4ms)
[34m2019-05-10 21:38:06.651 UTC [kvledger] CommitWithPvtData -> INFO c98b[0m [channelall] Committed block [18] with 5 transaction(s) in 18ms (state_validation=0ms block_commit=13ms state_commit=2ms)
[34m2019-05-10 21:38:15.090 UTC [kvledger] CommitWithPvtData -> INFO ccaf[0m [channelall] Committed block [19] with 4 transaction(s) in 5995ms (state_validation=0ms block_commit=40ms state_commit=5952ms)
[34m2019-05-10 21:38:15.105 UTC [kvledger] CommitWithPvtData -> INFO cccc[0m [channelall] Committed block [20] with 2 transaction(s) in 13ms (state_validation=0ms block_commit=9ms state_commit=1ms)
[34m2019-05-10 21:38:15.119 UTC [kvledger] CommitWithPvtData -> INFO ccfe[0m [channelall] Committed block [21] with 5 transaction(s) in 12ms (state_validation=0ms block_commit=8ms state_commit=1ms)
[34m2019-05-10 21:38:15.930 UTC [kvledger] CommitWithPvtData -> INFO cd6e[0m [channelall] Committed block [22] with 3 transaction(s) in 45ms (state_validation=0ms block_commit=38ms state_commit=3ms)
[34m2019-05-10 21:38:18.482 UTC [kvledger] CommitWithPvtData -> INFO ceac[0m [channelall] Committed block [23] with 3 transaction(s) in 37ms (state_validation=0ms block_commit=29ms state_commit=4ms)
[34m2019-05-10 21:38:20.896 UTC [kvledger] CommitWithPvtData -> INFO cf80[0m [channelall] Committed block [24] with 5 transaction(s) in 33ms (state_validation=0ms block_commit=18ms state_commit=6ms)
[34m2019-05-10 21:38:23.430 UTC [kvledger] CommitWithPvtData -> INFO d0a3[0m [channelall] Committed block [25] with 2 transaction(s) in 39ms (state_validation=0ms block_commit=33ms state_commit=3ms)
[34m2019-05-10 21:38:25.751 UTC [kvledger] CommitWithPvtData -> INFO d171[0m [channelall] Committed block [26] with 3 transaction(s) in 21ms (state_validation=0ms block_commit=15ms state_commit=3ms)
