00000010  22 bb 35 3c a8 7a 79 20  ed dc 6c 55 40 70 56 54  |".5<.zy ..lU@pVT|
00000010  22 bb 35 3c a8 7a 79 20  ed dc 6c 55 40 70 56 54  |".5<.zy ..lU@pVT|
00000010  22 bb 35 3c a8 7a 79 20  ed dc 6c 55 40 70 56 54  |".5<.zy ..lU@pVT|
[34m2019-05-10 21:38:33.659 UTC [kvledger] CommitWithPvtData -> INFO cc28[0m [channelall] Committed block [29] with 4 transaction(s) in 19ms (state_validation=0ms block_commit=14ms state_commit=2ms)
[34m2019-05-10 21:38:35.794 UTC [kvledger] CommitWithPvtData -> INFO cd18[0m [channelall] Committed block [30] with 3 transaction(s) in 50ms (state_validation=0ms block_commit=31ms state_commit=3ms)
[34m2019-05-10 21:38:40.522 UTC [kvledger] CommitWithPvtData -> INFO ce72[0m [channelall] Committed block [31] with 3 transaction(s) in 22ms (state_validation=0ms block_commit=15ms state_commit=3ms)
[34m2019-05-10 21:38:42.537 UTC [kvledger] CommitWithPvtData -> INFO cfe9[0m [channelall] Committed block [32] with 2 transaction(s) in 43ms (state_validation=0ms block_commit=36ms state_commit=3ms)
[34m2019-05-10 21:38:46.424 UTC [kvledger] CommitWithPvtData -> INFO d1c5[0m [channelall] Committed block [33] with 1 transaction(s) in 33ms (state_validation=0ms block_commit=24ms state_commit=4ms)
[34m2019-05-10 21:38:48.910 UTC [kvledger] CommitWithPvtData -> INFO d24f[0m [channelall] Committed block [34] with 1 transaction(s) in 19ms (state_validation=0ms block_commit=11ms state_commit=4ms)
[34m2019-05-10 21:39:14.189 UTC [kvledger] CommitWithPvtData -> INFO db5a[0m [channelall] Committed block [35] with 47 transaction(s) in 34ms (state_validation=0ms block_commit=25ms state_commit=4ms)
[34m2019-05-10 21:39:16.093 UTC [kvledger] CommitWithPvtData -> INFO e5eb[0m [channelall] Committed block [36] with 500 transaction(s) in 80ms (state_validation=9ms block_commit=46ms state_commit=6ms)
[34m2019-05-10 21:39:17.238 UTC [kvledger] CommitWithPvtData -> INFO f06b[0m [channelall] Committed block [37] with 500 transaction(s) in 176ms (state_validation=30ms block_commit=117ms state_commit=12ms)
[34m2019-05-10 21:39:17.923 UTC [kvledger] CommitWithPvtData -> INFO faac[0m [channelall] Committed block [38] with 500 transaction(s) in 140ms (state_validation=25ms block_commit=88ms state_commit=7ms)
[34m2019-05-10 21:39:18.834 UTC [kvledger] CommitWithPvtData -> INFO 10552[0m [channelall] Committed block [39] with 500 transaction(s) in 114ms (state_validation=13ms block_commit=78ms state_commit=11ms)
[34m2019-05-10 21:39:19.679 UTC [kvledger] CommitWithPvtData -> INFO 10f65[0m [channelall] Committed block [40] with 500 transaction(s) in 134ms (state_validation=34ms block_commit=69ms state_commit=13ms)
[34m2019-05-10 21:39:20.566 UTC [kvledger] CommitWithPvtData -> INFO 119db[0m [channelall] Committed block [41] with 500 transaction(s) in 112ms (state_validation=16ms block_commit=75ms state_commit=6ms)
[34m2019-05-10 21:39:21.523 UTC [kvledger] CommitWithPvtData -> INFO 12476[0m [channelall] Committed block [42] with 500 transaction(s) in 120ms (state_validation=10ms block_commit=68ms state_commit=6ms)
[34m2019-05-10 21:39:22.350 UTC [kvledger] CommitWithPvtData -> INFO 12eb9[0m [channelall] Committed block [43] with 500 transaction(s) in 126ms (state_validation=10ms block_commit=84ms state_commit=6ms)
[34m2019-05-10 21:39:23.207 UTC [kvledger] CommitWithPvtData -> INFO 138bb[0m [channelall] Committed block [44] with 500 transaction(s) in 84ms (state_validation=9ms block_commit=50ms state_commit=13ms)
[34m2019-05-10 21:39:25.045 UTC [kvledger] CommitWithPvtData -> INFO 1424d[0m [channelall] Committed block [45] with 453 transaction(s) in 108ms (state_validation=14ms block_commit=78ms state_commit=8ms)
[36m2019-05-10 21:45:40.729 UTC [msp/identity] Verify -> DEBU 1b351[0m Verify: digest = 00000000  50 96 46 26 60 56 b9 6c  50 76 54 01 2f b5 83 b4  |P.F&`V.lPvT./...|
